"Year","Geography","DGUID","Age_Group","Gender","Indicators","Number.of.persons","Low.95..confidence.interval..number.of.persons","High.95..confidence.interval..number.of.persons","Coefficient.of.variation.for.number.of.persons","Percent","Low.95..confidence.interval..percent","High.95..confidence.interval..percent","Coefficient.of.variation.for.percent"
2002,"Canada","2021A000011124","Total 15++ Years","Total, gender of person","Major depressive episode, life",3037049,2913405,3160692,21,12.2,11.7,12.7,21
2002,"Canada","2021A000011124","Total 15++ Years","Total, gender of person","Suicidal thoughts, life",3345344,3218204,3472485,19,13.4,12.9,13.9,19
2002,"Canada","2021A000011124","Total 15++ Years","Total, gender of person","Suicidal thoughts, 12 months",919795,839926,999665,44,3.7,3.4,4,44
2002,"Canada","2021A000011124","Total 15++ Years","Total, gender of person","Eating disorder, current diagnosed condition",123077,98489,147664,102,0.5,0.4,0.6,102
2002,"Canada","2021A000011124","Total 15++ Years","Men+","Major depressive episode, life",1125806,1046054,1205558,36,9.2,8.6,9.9,36
2002,"Canada","2021A000011124","Total 15++ Years","Men+","Suicidal thoughts, life",1507262,1423103,1591420,29,12.3,11.6,13,29
2002,"Canada","2021A000011124","Total 15++ Years","Men+","Suicidal thoughts, 12 months",440484,387467,493502,61,3.6,3.2,4,61
2002,"Canada","2021A000011124","Total 15++ Years","Men+","Eating disorder, current diagnosed condition",20316,10120,30512,256,0.2,0.1,0.2,256
2002,"Canada","2021A000011124","Total 15++ Years","Women+","Major depressive episode, life",1911243,1814636,2007849,26,15.1,14.4,15.9,26
2002,"Canada","2021A000011124","Total 15++ Years","Women+","Suicidal thoughts, life",1838083,1743097,1933068,26,14.5,13.7,15.2,26
2002,"Canada","2021A000011124","Total 15++ Years","Women+","Suicidal thoughts, 12 months",479311,422089,536533,61,3.8,3.3,4.2,61
2002,"Canada","2021A000011124","Total 15++ Years","Women+","Eating disorder, current diagnosed condition",102761,80289,125232,112,0.8,0.6,1,112
2002,"Canada","2021A000011124","15-24 Years","Total, gender of person","Major depressive episode, life",420154,376435,463873,53,10.2,9.1,11.2,53
2002,"Canada","2021A000011124","15-24 Years","Total, gender of person","Suicidal thoughts, life",631062,583908,678217,38,15.3,14.1,16.4,38
2002,"Canada","2021A000011124","15-24 Years","Total, gender of person","Suicidal thoughts, 12 months",247249,214946,279552,67,6,5.2,6.8,67
2002,"Canada","2021A000011124","15-24 Years","Total, gender of person","Eating disorder, current diagnosed condition",32114,21139,43089,174,0.8,0.5,1,174
2002,"Canada","2021A000011124","15-24 Years","Men+","Major depressive episode, life",139586,113542,165631,95,6.6,5.4,7.9,95
2002,"Canada","2021A000011124","15-24 Years","Men+","Suicidal thoughts, life",255091,223365,286818,64,12.1,10.6,13.6,63
2002,"Canada","2021A000011124","15-24 Years","Men+","Suicidal thoughts, 12 months",99932,78840,121025,108,4.7,3.7,5.7,108
2002,"Canada","2021A000011124","15-24 Years","Women+","Major depressive episode, life",280568,245360,315776,64,13.9,12.1,15.6,64
2002,"Canada","2021A000011124","15-24 Years","Women+","Suicidal thoughts, life",375971,340654,411288,48,18.6,16.8,20.3,48
2002,"Canada","2021A000011124","15-24 Years","Women+","Suicidal thoughts, 12 months",147317,123012,171622,84,7.3,6.1,8.5,84
2002,"Canada","2021A000011124","15-24 Years","Women+","Eating disorder, current diagnosed condition",30174,19052,41297,188,1.5,0.9,2,188
2002,"Canada","2021A000011124","25-44 years","Total, gender of person","Major depressive episode, life",1293033,1211155,1374910,32,13.7,12.8,14.5,32
2002,"Canada","2021A000011124","25-44 years","Total, gender of person","Suicidal thoughts, life",1453365,1368445,1538285,30,15.3,14.4,16.2,30
2002,"Canada","2021A000011124","25-44 years","Total, gender of person","Suicidal thoughts, 12 months",350714,307540,393889,63,3.7,3.2,4.2,63
2002,"Canada","2021A000011124","25-44 years","Total, gender of person","Eating disorder, current diagnosed condition",61791,44468,79113,143,0.6,0.5,0.8,143
2002,"Canada","2021A000011124","25-44 years","Men+","Major depressive episode, life",493036,440335,545736,55,10.4,9.3,11.5,55
2002,"Canada","2021A000011124","25-44 years","Men+","Suicidal thoughts, life",691549,634524,748573,42,14.5,13.3,15.7,42
2002,"Canada","2021A000011124","25-44 years","Men+","Suicidal thoughts, 12 months",177635,143975,211295,97,3.7,3,4.4,97
2002,"Canada","2021A000011124","25-44 years","Women+","Major depressive episode, life",799997,739709,860285,38,16.9,15.7,18.2,39
2002,"Canada","2021A000011124","25-44 years","Women+","Suicidal thoughts, life",761816,700535,823098,41,16.1,14.8,17.4,41
2002,"Canada","2021A000011124","25-44 years","Women+","Suicidal thoughts, 12 months",173079,146731,199427,78,3.7,3.1,4.2,78
2002,"Canada","2021A000011124","25-44 years","Women+","Eating disorder, current diagnosed condition",47719,33162,62275,156,1,0.7,1.3,156
2002,"Canada","2021A000011124","45-64 years","Total, gender of person","Major depressive episode, life",1080966,1004484,1157448,36,14.2,13.2,15.2,36
